Item,Qty,Reference(s),Value,MPN,LCSC,Unit Cost,Total
1,2,"C1, C2",100n,TCC0402X5R104M250AT,C359190,0.0008,0.0016
2,2,"C3, C4",1u,TCC0402X5R105K6R3AT,C380294,0.0015,0.003
3,1,J1,USB_C_Receptacle_USB2.0,TYPE-C-31-M-12,C165948,0.2213,0.2213
4,1,J3,UART,PZ254V-11-04P,C2691448,0.0198,0.0198
5,2,"R1, R2",5k1,FRC0603J512 TS,C2907114,0.008,0.016
6,1,SW1,SW_Push_SPDT,SK-3296S-01-L1,C319020,0.0493,0.0493
7,1,U1,CH340N,CH340N,C2977777,0.4869,0.4869
8,1,U2,ME6211C,ME6211C33R5G,C235316,0.0708,0.0708
9,1,PCB,PCB,PCB,-----,0.0281666666666667,0.0281666666666667
,,,,,,,
,,,,,,,0.896866666666667
